Date,Future Price,Index
Apr-22,27080,27660
Mar-22,27830,26880
Feb-22,26560,27030
Jan-22,27050,28930
Dec-21,28780,28280
Nov-21,27470,29550
Oct-21,28780,28820
Sep-21,29460,28490
Aug-21,28180,27740
Jul-21,27350,28630
Jun-21,28780,28760
May-21,28970,28935
Apr-21,28880,29400
Mar-21,29180,29580
Feb-21,29250,28140
Jan-21,27570,27320
Dec-20,27440,26800
Nov-20,26460,23280
Oct-20,22880,23310
Sep-20,23190,23160
Aug-20,23160,22090
Jul-20,21760,22090
Jun-20,22270,22120
May-20,21810,19630
Apr-20,20060,17820
Mar-20,18920,21170
Feb-20,21080,22890
Jan-20,23130,23512.5
Dec-19,23640,23560
Nov-19,23290,22850
Oct-19,22950,21970
Sep-19,21760,20590
Aug-19,20690,21500
Jul-19,21550,21770
Jun-19,21260,20360
May-19,20540,22190
Apr-19,22250,21450
Mar-19,21210,21620
Feb-19,21390,20720
Jan-19,20750,19885
Dec-18,20000,22640
Nov-18,22350,21540
Oct-18,21880,24310
Sep-18,24120,22710
Aug-18,22860,22780
Jul-18,22500,21740
Jun-18,22290,22220
May-18,22190,22500
Apr-18,22510,21430
Mar-18,21460,21640
Feb-18,22100,23440
Jan-18,23090,22825
Dec-17,22750,22780
Nov-17,22760,22430
Oct-17,21950,20410
Sep-17,20360,19690
Aug-17,19690,19980
Jul-17,19940,20070
Jun-17,20020,19860
May-17,19660,19310
Apr-17,19200,19050
Mar-17,18910,19390
Feb-17,19130,19190
Jan-17,18980,19270
Dec-16,19100,18400
Nov-16,18380,17440
Oct-16,17440,16590
Sep-16,16450,16940
Aug-16,16890,16590
Jul-16,16610,15670
Jun-16,15570,16970
May-16,17230,16140
Apr-16,16500,16180
Mar-16,16760,16100
Feb-16,15930,17870
Jan-16,17640,18380
Dec-15,19030,20020
Nov-15,19750,18740
Oct-15,19090,17690
Sep-15,17390,18110
Aug-15,18840,20500
Jul-15,20570,20400
Jun-15,20230,20570
May-15,20560,19540
Apr-15,19510,19120
Mar-15,19210,18860
Feb-15,18820,17530
Jan-15,17670,17412.5
Dec-14,17450,17570
Nov-14,17450,17167.5
Oct-14,16490,16110
Sep-14,16180,15480
Aug-14,15420,15580
Jul-14,15650,15310
Jun-14,15160,14940
May-14,14650,14490
Apr-14,14220,14760
Mar-14,14830,14630
Feb-14,14860,14560
Jan-14,14850,16365.5
Dec-13,16290,15690
Nov-13,15740,14190
Oct-13,14350,14510
Sep-13,14460,13570
Aug-13,13350,14050
Jul-13,13600,13870
Jun-13,13680,13240
May-13,13700,13800
Apr-13,13880,12180
Mar-13,12400,11570
Feb-13,11500,11170
Jan-13,11110,10512.5
Dec-12,10390,9460
Nov-12,9450,8950
Oct-12,8920,8780
Sep-12,8880,8770
Aug-12,8820,8630
Jul-12,8680,9020
Jun-12,9010,8420
May-12,8530,9340
